person_id,player_name,player_type,draft_year,draft_pick,draft_round,draft_bonus,draft_school,draft_rank,draft_position,height,weight,bats,throws,college_season,fg_G,fg_AB,fg_PA,fg_H,fg_1B,fg_2B,fg_3B,fg_HR,fg_R,fg_RBI,fg_BB,fg_IBB,fg_SO,fg_HBP,fg_SF,fg_SH,fg_GDP,fg_SB,fg_CS,fg_AVG,fg_BB_pct,fg_K_pct,fg_BB/K,fg_OBP,fg_SLG,fg_OPS,fg_ISO,fg_Spd,fg_BABIP,fg_wRC,fg_wRAA,fg_wOBA,fg_wRC_plus,fg_wBsR,fg_Age,fg_MaxAge,reached_mlb,mlb_debut_date,peak_level,peak_level_rank,num_milb_seasons,milb_seasons_list,first_milb_level,first_milb_season,first_milb_avg,first_milb_obp,first_milb_slg,first_milb_ops,first_milb_babip,first_milb_gamesPlayed,first_milb_plateAppearances,first_milb_homeRuns,first_milb_strikeOuts,first_milb_baseOnBalls,best_milb_avg,best_milb_obp,best_milb_slg,best_milb_ops,best_milb_babip,best_milb_gamesPlayed,best_milb_plateAppearances,best_milb_homeRuns,best_milb_strikeOuts,best_milb_baseOnBalls,first_milb_era,first_milb_whip,first_milb_k_per_9,first_milb_bb_per_9,first_milb_fip,first_milb_gamesPitched,first_milb_inningsPitched,first_milb_k_bb,fg_W,fg_L,fg_ERA,fg_GS,fg_CG,fg_SHO,fg_SV,fg_IP,fg_TBF,fg_ER,fg_WP,fg_BK,fg_K_per_nine,fg_BB_per_nine,fg_KBB,fg_HR_per_nine,fg_WHIP,fg_LOB_pct,fg_FIP,fg_ERA_minus_FIP,fg_K_minus_BB_pct,best_milb_era,best_milb_whip,best_milb_k_per_9,best_milb_bb_per_9,best_milb_fip,best_milb_gamesPitched,best_milb_inningsPitched,best_milb_k_bb,best_milb_k_bb_pct,draftability_score,school_class,conference_tier,conference,bmi
702474,Mike Paredes,pitcher,2021,549,18,75000.0,San Diego St U,,Pitcher,"5' 11""",185,R,R,2021,14.0,,,82.0,,,,15.0,52.0,,18.0,,65.0,6.0,,,,,,0.26537217,0.05405405,0.1951952,,,,,,,0.29257642,,,,,,20,20,True,2026-05-31,AAA,4,5,"[2022, 2023, 2024, 2025, 2025]",A,2022,,,,,,,,,2.0,1.0,,,,,,,,,91.0,28.0,2.45,1.36,4.91,2.45,2.83,1.0,3.6666666666666665,2.0,4.0,0.0,5.586206712847522,11.0,0.0,0.0,0.0,77.1,333.0,48.0,4.0,0.0,7.564654923647685,2.094827517317821,3.61111111,1.7456895977648506,1.2931034057517412,0.63529412,6.278145560838381,-0.6919388479908593,0.14114114,2.43,1.03,7.9,2.43,3.33,37.0,103.66666666666669,3.25,0.15,,4YR JR,2.0,Mountain West,25.8
687317,Stu Flesland III,pitcher,2023,322,11,150000.0,Washington,,Pitcher,"6' 5""",207,R,L,2023,16.0,,,89.0,,,,9.0,41.0,,27.0,,81.0,5.0,,,,,,0.25574713,0.07105263,0.21315789,,,,,,,0.31007752,,,,,,22,22,False,,A+,2,2,"[2024, 2025]",A,2024,,,,,,,,,70.0,27.0,,,,,,,,,70.0,27.0,3.91,1.35,8.83,3.41,2.89,32.0,71.33333333333333,2.59,7.0,2.0,4.115241752404472,16.0,0.0,0.0,0.0,89.2,380.0,41.0,1.0,0.0,8.130111754750297,2.710037251583433,3.0,0.9033457505278109,1.293680334089211,0.73800738,4.673998527279347,-0.5587567748748752,0.14210526,3.91,1.35,8.83,3.41,2.89,32.0,71.33333333333333,2.59,0.1365,,4YR SR,2.0,Mountain West,24.5
676442,Bailey Dees,pitcher,2021,543,18,50000.0,Penn State,,Pitcher,"6' 8""",247,R,R,2021,13.0,,,81.0,,,,9.0,47.0,,20.0,,53.0,12.0,,,,,,0.2967033,0.06557377,0.17377049,,,,,,,0.34123223,,,,,,22,22,False,,AAA,4,4,"[2022, 2023, 2024, 2025]",A+,2022,,,,,,,,,8.0,2.0,,,,,,,,,,,3.18,0.88,12.71,3.18,1.34,3.0,5.666666666666667,4.0,4.0,4.0,5.590909090909091,13.0,0.0,0.0,0.0,66.0,305.0,41.0,5.0,0.0,7.227272727272728,2.727272727272727,2.65,1.2272727272727273,1.5303030303030305,0.65737052,5.432338544094201,0.1585705468148894,0.10819672,,,,,,,,,,,4YR SR,,,27.1
695425,Bryce Warrecker,pitcher,2023,612,20,150000.0,Cal Poly,,Pitcher,"6' 8""",225,L,R,2023,16.0,,,92.0,,,,12.0,50.0,,25.0,,77.0,9.0,,,,,,0.28307692,0.06963788,0.21448468,,,,,,,0.33898305,,,,,,21,21,False,,A+,2,1,[2025],A+,2025,,,,,,,,,61.0,13.0,,,,,,,,,61.0,13.0,2.05,0.84,9.63,2.05,1.92,40.0,57.0,4.69,3.0,7.0,5.222222222222222,14.0,1.0,0.0,0.0,81.0,359.0,47.0,4.0,1.0,8.555555555555555,2.7777777777777777,3.08,1.3333333333333333,1.4444444444444444,0.6959707,5.414841654271255,-0.1926194320490326,0.1448468,2.05,0.84,9.63,2.05,1.92,40.0,57.0,4.69,0.2222,,4YR JR,,,24.7
801479,Cooper McKeehan,pitcher,2022,475,16,125000.0,BYU,,Pitcher,"6' 1""",195,L,L,2022,23.0,,,13.0,,,,0.0,6.0,,14.0,,41.0,1.0,,,,,,0.15662651,0.14285714,0.41836735,,,,,,,0.30952381,,,,,,21,21,False,,A+,2,3,"[2022, 2023, 2024]",A,2022,,,,,,,,,10.0,5.0,,,,,,,,,,,2.25,1.25,11.25,5.62,2.85,5.0,8.0,2.0,2.0,1.0,1.565217391304348,0.0,0.0,0.0,0.0,23.0,98.0,4.0,9.0,0.0,16.043478260869566,5.478260869565218,2.92857143,0.0,1.173913043478261,0.78571429,2.453933761430823,-0.8887163701264755,0.2755102,,,,,,,,,,,4YR JR,,,25.7
687195,Jake Garland,pitcher,2022,514,17,100000.0,Miami,,Pitcher,"6' 5""",260,R,R,2022,14.0,,,72.0,,,,4.0,36.0,,11.0,,54.0,6.0,,,,,,0.27586207,0.03956835,0.1942446,,,,,,,0.33497537,,,,,,21,21,False,,AAA,4,3,"[2023, 2024, 2025]",A+,2023,,,,,,,,,59.0,28.0,,,,,,,,,59.0,28.0,6.4,1.65,6.3,2.99,3.73,18.0,84.33333333333333,2.11,6.0,2.0,3.9948978036803497,12.0,0.0,0.0,1.0,65.1,278.0,29.0,2.0,0.0,7.438775220646169,1.5153060634649602,4.90909091,0.551020386714531,1.2704081138140575,0.63549161,3.605368175371544,0.3895296283088054,0.15467626,6.4,1.65,6.3,2.99,3.73,18.0,84.33333333333333,2.11,0.0816,,4YR JR,,,30.8
690977,Jackson Fristoe,pitcher,2022,370,12,272500.0,Mississippi State,,Pitcher,"6' 4""",210,R,R,2022,24.0,,,44.0,,,,5.0,33.0,,19.0,,48.0,4.0,,,,,,0.28947368,0.10857143,0.27428571,,,,,,,0.39393939,,,,,,21,21,False,,A+,2,3,"[2023, 2023, 2025]",A+,2023,,,,,,,,,5.0,1.0,,,,,,,,,46.0,32.0,0.0,1.0,11.25,2.25,1.35,1.0,4.0,5.0,3.0,4.0,7.955357413815001,3.0,0.0,0.0,1.0,37.1,175.0,33.0,1.0,0.0,11.571428965549092,4.580357298863182,2.52631579,1.205357183911364,1.6875000574759094,0.56666667,4.518233592777838,3.4371238210371633,0.16571429,4.3,1.33,7.06,4.91,5.32,32.0,58.666666666666664,1.44,0.0558,,4YR SO,1.0,SEC,25.6
695366,Holt Jones,pitcher,2021,419,14,125000.0,Kentucky,,Pitcher,"6' 7""",265,R,R,2021,20.0,,,28.0,,,,4.0,19.0,,10.0,,26.0,6.0,,,,,,0.25454545,0.07936508,0.20634921,,,,,,,0.3,,,,,,22,22,False,,A+,2,5,"[2021, 2022, 2023, 2024, 2025]",A,2021,,,,,,,,,4.0,3.0,,,,,,,,,22.0,18.0,13.5,2.14,7.71,5.79,3.96,3.0,4.666666666666667,1.33,1.0,0.0,5.717646930522988,1.0,0.0,0.0,1.0,28.1,126.0,18.0,5.0,0.0,8.25882334408876,3.1764705169572154,2.6,1.2705882067828862,1.3411764404930464,0.65104167,5.322587743778956,0.3950591867440316,0.12698413,6.45,1.84,8.87,7.25,5.25,18.0,22.333333333333332,1.22,0.0364,,4YR SR,3.0,Horizon,29.9
811290,Jaden Hamm,pitcher,2023,143,5,397500.0,Middle Tennessee State,218.0,Pitcher,"6' 1""",190,R,R,2023,17.0,,,83.0,,,,9.0,54.0,,37.0,,93.0,7.0,,,,,,0.26517572,0.10364146,0.2605042,,,,,,,0.3507109,,,,,,20,20,False,,AA,3,3,"[2023, 2024, 2025]",A,2023,,,,,,,,,,,,,,,,,,,122.0,31.0,,,,,,,,,5.0,4.0,5.309623600456959,14.0,1.0,1.0,1.0,79.2,357.0,47.0,9.0,0.0,10.50627648601058,4.179916451423564,2.51351351,1.016736434130056,1.506276198711194,0.63811189,4.713182318166151,0.5964412822908081,0.15686275,2.64,1.05,11.09,2.82,2.75,24.0,99.0,3.94,0.2281,,4YR JR,2.0,CUSA,25.1
694495,Javen Coleman,pitcher,2023,490,16,,LSU,,Pitcher,"6' 2""",200,L,L,2023,8.0,,,10.0,,,,3.0,12.0,,16.0,,21.0,2.0,,,,,,0.18867925,0.22535211,0.29577465,,,,,,,0.24137931,,,,,,21,21,False,,A+,2,1,[2025],A+,2025,,,,,,,,,40.0,6.0,,,,,,,,,40.0,6.0,1.4,0.82,14.03,2.1,0.8,18.0,25.666666666666668,6.67,1.0,2.0,7.071428571428571,4.0,0.0,0.0,0.0,14.0,71.0,11.0,0.0,0.0,13.5,10.285714285714286,1.3125,1.9285714285714288,1.8571428571428572,0.67226891,7.28817059653146,-0.2167420251028886,0.07042254,1.4,0.82,14.03,2.1,0.8,18.0,25.666666666666668,6.67,0.3434,,4YR JR,,,25.7
687243,Cole Kirschsieper,pitcher,2022,352,12,125000.0,Illinois,,Pitcher,"5' 11""",170,R,L,2022,15.0,,,75.0,,,,6.0,33.0,,29.0,,88.0,3.0,,,,,,0.22865854,0.08055556,0.24444444,,,,,,,0.29487179,,,,,,21,21,False,,A,1,2,"[2022, 2023]",A,2022,,,,,,,,,6.0,2.0,,,,,,,,,,,9.0,2.25,13.5,4.5,4.85,2.0,4.0,3.0,7.0,2.0,3.40076325974899,15.0,0.0,0.0,0.0,87.1,360.0,33.0,3.0,0.0,9.068702025997307,2.988549531294567,3.03448276,0.6183205926816345,1.1908396599794444,0.7505071,4.199362764224592,-0.798599504475602,0.16388889,,,,,,,,,,,4YR JR,4.0,OVC,23.7
