player_uid,player_name,team_code,school_name,conference,season,throws,class_year,production_rank,draft_value_score,reach_score,stuff_score,command_score,risk_score,pitch_count,avg_fb_velo,max_fb_velo,avg_ivb,avg_hb,extension,avg_spin,csw_pct,whiff_pct,zone_pct,arsenal_count,trend_delta,data_completeness_score,one_season_only_flag,missing_critical_count,export_ts
p_820840,Dax Whitney,ORE_BEA,Oregon State,Pac-12,2026,Right,Unknown,1,74.49244473887138,99.31265701720429,58.69223376639209,97.67931933102564,42.65,69,97.00275230769229,100.34576,10.640581884057973,-1.075146086956522,6.282043043478261,2361.9934525797103,36.231884057971016,41.935483870967744,52.17391304347826,6,2.918815892597948,20.289855072463766,FALSE,55,2026-05-08 21:25:59 UTC
p_804467,Patrick Forbes,LOU_CAR,Louisville,ACC,2025,Right,Unknown,2,70.86576679540359,83.89246575472153,64.8237065658006,94.04366998900505,50.15,92,95.02507724637684,97.97205,11.199301195652174,8.912144782608696,5.983582499999999,2485.6388601304348,35.869565217391305,47.05882352941177,48.91304347826087,5,0,19.565217391304344,TRUE,74,2026-05-08 21:25:59 UTC
p_1000115932,Benjamin Blair,LIB_FLA,Liberty,CUSA,2026,Right,Unknown,3,70.51505499202607,87.82429870656725,58.621840982091186,98.20419969121296,42.65,82,94.10821404761904,96.53716,8.792948170731705,4.4159847560975605,6.459719268292682,2434.1510479390245,35.36585365853659,27.027027027027028,57.31707317073171,5,1.7223671848739315,28.048780487804876,FALSE,59,2026-05-08 21:25:59 UTC
p_814176,Jackson Flora,SAN_GAU,Santa Clara,WCC,2026,Right,Unknown,4,70.26548094699321,87.87899431431599,61.59918188963891,91.48827994775442,50.15,72,96.04901333333333,98.71845,10.741730416666668,-2.227286944444445,6.120143333333335,2515.134520347222,33.333333333333336,30.555555555555557,48.611111111111114,6,0,27.777777777777786,TRUE,52,2026-05-08 21:25:59 UTC
p_815484,Chris Levonas,WAK_DEA,Wake Forest,ACC,2026,Right,Unknown,5,69.2530643455813,97.91350792896506,57.886778659669226,68.69964827072606,42.65,60,96.90375499999999,99.89747,4.854451,-3.380138333333333,6.5046905,2539.7278489000005,33.333333333333336,41.935483870967744,46.666666666666664,5,3.1302427777777666,26.66666666666667,FALSE,44,2026-05-08 21:25:59 UTC
p_1000154080,Micah Worley,SBU_SEA,Stony Brook,CAA,2026,Left,Unknown,6,67.67645666462609,89.66959566399866,58.888613302966775,75.15088520495442,44.24841249999999,54,92.738255,96.61211,11.37263277777778,-5.671134814814816,6.4908383333333335,2347.915972759259,31.48148148148148,43.47826086956522,48.148148148148145,6,-0.639364999999998,16.666666666666657,FALSE,45,2026-05-08 21:25:59 UTC
p_805422,Nate Snead,TEN_VOL,Tennessee,SEC,2025,Right,Unknown,7,67.30443810742429,81.67618791171262,61.73590301677063,85.76547219959707,50.15,50,96.6682109090909,99.85711,5.154539599999998,10.9388042,5.461983399999999,2413.9861084599997,34,33.333333333333336,46,6,0,32,TRUE,34,2026-05-08 21:25:59 UTC
p_815786,Casan Evans,LSU_TIG,LSU,SEC,2026,Right,Unknown,8,67.28001255221551,75.17347851872032,62.10172637824586,96.6479105523646,45.7875470131422,50,94.24682193548387,97.34398,12.079144000000001,8.218319800000002,5.7263634,2330.64737814,34,26.08695652173913,52,5,-1.2550188052568814,34,FALSE,33,2026-05-08 21:25:59 UTC
p_825929,Kendall Hoffman,HOU_COU,Houston,Big 12,2026,Right,Unknown,9,66.07280513197017,83.49637366575391,53.599439020324695,95.42903225862642,42.65,64,93.23818894736841,95.10467,3.2252084374999996,1.5322621874999998,5.69811921875,2406.310765453125,40.625,38.70967741935484,54.6875,5,3.1791029473684063,23.4375,FALSE,49,2026-05-08 21:25:59 UTC
p_835217,Steele Murdock,CSD_TRI,CSU Dominguez Hills,CCAA,2026,Right,Unknown,10,65.82818983278504,92.2618959624843,58.72916446488771,61.24629342314452,50.15,67,93.37345720930233,97.76433,11.636157611940298,1.4238698507462684,6.728140000000001,2365.199167298508,38.80597014925373,38.46153846153846,37.3134328358209,6,0,16.4179104477612,TRUE,56,2026-05-08 21:25:59 UTC
p_10274556,Callan Scolari,SAN_TOR,San Diego,WCC,2025,Right,Unknown,11,65.69979285076512,68.75234880047941,69.59697777713625,79.01987921352803,50.15,72,92.86999847457628,95.43636,15.96693902777778,3.203623055555555,6.255234166666667,2417.313453611111,33.333333333333336,23.80952380952381,45.833333333333336,3,0,22.222222222222214,TRUE,56,2026-05-08 21:25:59 UTC
p_802412,Malachi Witherspoon,OKL_SOO,Oklahoma,SEC,2025,Right,Unknown,12,65.66313556073041,88.16216943704326,58.72055851273696,69.74064667597861,50.15,84,95.97454979999999,98.49486,4.621902631578948,6.46204789473684,6.01660880952381,2461.2328749285716,36.904761904761905,36.58536585365854,54.76190476190476,6,0,26.19047619047619,TRUE,62,2026-05-08 21:25:59 UTC
p_804817,Kyson Witherspoon,OKL_SOO,Oklahoma,SEC,2025,Right,Unknown,13,65.65051531691311,78.3873737116451,60.716603045517594,85.81088663385687,50.15,90,96.65539958333333,99.18469,11.097239647058823,1.8861791764705882,5.537433888888888,2404.7181756555556,34.44444444444444,32.69230769230769,50,5,0,32.222222222222214,TRUE,61,2026-05-08 21:25:59 UTC
p_815158,Tegan Kuhns,TEN_VOL,Tennessee,SEC,2026,Right,Unknown,14,65.58318337125512,79.48645210785834,56.63751136425684,91.39446300917518,42.65,67,94.54346918918918,98.50371,9.298084776119405,5.529937910447762,6.173198656716417,2307.179388089552,32.83582089552239,35,49.25373134328358,4,0.3519188045737991,35.82089552238806,FALSE,43,2026-05-08 21:25:59 UTC
p_823789,Tyler Fay,ALA_CRI,Alabama,SEC,2026,Right,Unknown,15,65.12902138220149,80.19887201087771,55.22677712997957,91.40685075603008,42.65,71,92.75178709677418,96.41491,8.732658309859154,7.587242816901409,6.093260142857142,2311.306200577465,30.985915492957748,27.77777777777778,52.11267605633803,5,0.7167377634408467,28.16901408450704,FALSE,51,2026-05-08 21:25:59 UTC
p_822705,Jacob Dudan,NOR_WOL,NC State,ACC,2026,Right,Unknown,16,64.82837293049651,79.72930673411096,59.03381271262707,82.80806144829427,50.15,51,96.42006416666665,98.56166,6.25161568627451,6.2599278431372545,5.579244313725491,2465.025849313726,37.254901960784316,44.44444444444444,45.09803921568628,5,0,23.529411764705884,TRUE,39,2026-05-08 21:25:59 UTC
p_1000220676,Zachary Royse,UTS_ROA,UTSA,American,2025,Right,Unknown,17,64.7277943284468,74.36338525541582,61.93407690736595,84.990473569122,50.15,87,93.92866422222222,96.4657,10.939225977011493,4.1882248275862075,5.877051724137931,2532.2931118160923,31.03448275862069,35.714285714285715,47.12643678160919,4,0,22.98850574712644,TRUE,67,2026-05-08 21:25:59 UTC
p_831273,Ethan Young,ECU_PIR,East Carolina,American,2025,Right,Unknown,18,64.60918166446588,82.32115584595066,59.25134918473507,74.57401684010408,50.15,61,94.6518658064516,97.1727,7.398069672131145,8.28384213114754,5.580821803278691,2401.27918295082,34.42622950819672,42.857142857142854,42.622950819672134,6,0,24.59016393442623,TRUE,46,2026-05-08 21:25:59 UTC
p_1000264056,Chase Meyer,WES_MOU,Western Michigan,MAC,2025,Right,Unknown,19,64.57396600718954,78.67129040020927,56.084885409103975,88.41047775042875,42.65,60,93.76518370370371,97.04626,-0.29822377358490576,-3.5846324528301885,5.701776333333333,2821.510556366666,40,36.8421052631579,46.666666666666664,5,0,16.666666666666657,FALSE,50,2026-05-08 21:25:59 UTC
