player_uid,player_name,season,pitch_type,usage_pct,avg_velo,avg_ivb,avg_hb,extension,rel_height,rel_side,zone_pct,whiff_pct,csw_pct,hard_hit_allowed_pct
p_10109032,"Lazaro, Daniel",2026,Fastball,2.5316455696202533,88.67783222222222,19.344217333333333,-5.7058337777777774,6.636607333333333,5.68196,-1.6647653333333334,42.22222222222222,22.22222222222222,22.22222222222222,16.666666666666668
p_10109032,"Lazaro, Daniel",2026,Slider,2.5316455696202533,80.17614333333333,0.7640062499999998,5.686810416666667,5.965634166666667,5.78794,-1.5573366666666666,58.333333333333336,14.285714285714286,37.5,25
p_10110051,"McGrath, Luke",2026,ChangeUp,8.333333333333334,85.93043,6.92756,18.9482,5.66811,5.59598,1.55688,100,100,100,NA
p_10110051,"McGrath, Luke",2026,Fastball,8.333333333333334,95.101865,20.813915,16.78676,5.469166666666666,5.58056,1.3939633333333332,33.333333333333336,33.333333333333336,16.666666666666668,0
p_10110051,"McGrath, Luke",2026,Slider,8.333333333333334,82.40217200000001,-2.3478339999999998,-7.23313,5.014024,5.527576,1.4524299999999999,40,100,80,NA
p_10149428,"Lutz, Tyler",2026,ChangeUp,41.07142857142857,81.12272260869565,2.9485208695652174,-10.519831739130435,6.865949565217392,5.054340869565218,-1.4763682608695652,26.08695652173913,50,34.78260869565217,50
p_10149428,"Lutz, Tyler",2026,Fastball,41.07142857142857,87.03892333333333,16.686236666666666,-3.4462366666666666,6.938948333333333,5.393845,-1.3600349999999999,50,0,16.666666666666668,0
p_10149428,"Lutz, Tyler",2026,Sinker,41.07142857142857,87.28988,13.581034166666667,-13.819843333333333,6.822769166666666,5.365023333333333,-1.3967191666666667,58.333333333333336,0,33.333333333333336,33.333333333333336
p_10149428,"Lutz, Tyler",2026,Sweeper,41.07142857142857,77.31918399999999,0.6708220000000001,12.579508,6.19052,5.030376,-1.5241173333333333,46.666666666666664,40,40,0
p_10151000,"Cruz, Matthew",2026,Curveball,5.2631578947368425,76.27687,-8.28268,-12.81764,5.46988,5.25982,1.58199,0,NA,0,NA
p_10151000,"Cruz, Matthew",2026,Cutter,5.2631578947368425,85.15516333333333,7.855673333333333,3.8972166666666666,6.2332600000000005,5.207643333333333,1.7528233333333334,33.333333333333336,NA,33.333333333333336,NA
p_10151000,"Cruz, Matthew",2026,Fastball,5.2631578947368425,89.50546750000001,14.65753,13.310735,6.0493375,5.216695,1.5874,25,0,0,NA
p_10151000,"Cruz, Matthew",2026,Sinker,5.2631578947368425,89.17883636363636,11.894605454545454,15.014973636363637,6.060404545454546,5.2164363636363635,1.5772127272727272,36.36363636363637,0,9.090909090909092,100
p_10164964,"Noonan, Parker",2026,ChangeUp,29.62962962962963,79.024545,8.90892125,9.56984,6.23006625,5.68726375,1.090935,50,40,25,66.66666666666667
p_10164964,"Noonan, Parker",2026,Curveball,29.62962962962963,74.120405,-7.90569,-9.71264,5.599175,5.8706949999999996,0.93306,50,NA,50,NA
p_10164964,"Noonan, Parker",2026,Fastball,29.62962962962963,83.91547571428572,11.05496642857143,12.814185,6.013915,5.878891428571428,0.9379392857142858,64.28571428571429,0,35.714285714285715,50
p_10164964,"Noonan, Parker",2026,Slider,29.62962962962963,73.50101666666667,-1.1706833333333333,-6.09158,5.47626,5.85956,0.9272733333333333,33.333333333333336,0,33.333333333333336,100
p_10180039,"Costarelli, Thomas",2026,ChangeUp,13.157894736842104,78.864912,3.663798,-10.167910000000001,6.373148,4.735462,-2.146756,60,0,40,0
p_10180039,"Costarelli, Thomas",2026,Curveball,13.157894736842104,73.827195,-4.7090975,12.914085,5.8134125,5.1105350000000005,-1.7101025,100,0,25,66.66666666666667
p_10180039,"Costarelli, Thomas",2026,Fastball,13.157894736842104,86.73812357142857,15.447474285714286,-10.019446785714285,6.3633717857142855,5.171999642857143,-1.6763471428571428,67.85714285714286,0,17.857142857142858,20
p_10180039,"Costarelli, Thomas",2026,Slider,13.157894736842104,73.33527,-3.81481,3.34355,5.7764,5.08136,-1.69474,0,100,100,NA
p_10278825,"Seneker, Charlie",2026,ChangeUp,64,76.59447875000001,4.432420625,17.525139375,5.3180024999999995,5.103289375,1.60058875,62.5,37.5,43.75,25
p_10278825,"Seneker, Charlie",2026,Cutter,64,77.73662,6.62721,3.8576,5.36661,5.27684,1.71159,100,0,0,100
p_10278825,"Seneker, Charlie",2026,Sinker,64,84.73512625,5.6106125,17.32562,4.97765,5.2896675,1.618675,37.5,0,12.5,0
p_10294512,"Lippman, Hank",2026,Cutter,58.53658536585366,89.30110791666667,8.035286666666666,-0.17754666666666666,6.171625416666667,5.577430416666667,1.9399458333333333,29.166666666666668,22.22222222222222,16.666666666666668,0
p_10294512,"Lippman, Hank",2026,Fastball,58.53658536585366,91.9605394117647,16.66199176470588,9.09768294117647,5.9760447058823525,5.660815882352941,1.81214,52.94117647058823,22.22222222222222,23.529411764705884,33.333333333333336
p_10296017,"Doll, Landen",2026,ChangeUp,3.9473684210526314,79.10029,10.451883333333333,-19.64698,7.2128,5.0025699999999995,-3.0510866666666665,100,0,33.333333333333336,NA
p_10296017,"Doll, Landen",2026,Curveball,3.9473684210526314,71.35518307692308,-8.102070384615384,13.111628846153845,6.567632307692308,5.092356923076923,-2.974123076923077,53.84615384615385,11.11111111111111,42.30769230769231,16.666666666666668
p_10296017,"Doll, Landen",2026,Fastball,3.9473684210526314,86.01704921052632,18.85307605263158,-11.721854210526315,7.479181842105263,5.2327607894736845,-2.6695047368421054,50,15.384615384615385,31.57894736842105,0
p_10296017,"Doll, Landen",2026,Slider,3.9473684210526314,76.11995777777778,-0.47868444444444447,5.035225555555556,6.693787777777778,5.028018888888889,-3.0838255555555554,77.77777777777777,16.666666666666668,33.333333333333336,0
p_10320121,"Bobb, Coleman",2026,Cutter,21.428571428571427,85.82340333333333,10.68103,1.9201466666666667,6.47872,5.20112,2.9587,33.333333333333336,0,0,NA
p_10320121,"Bobb, Coleman",2026,Fastball,21.428571428571427,91.174636,13.927786,17.71893,6.786684,5.176684,2.824154,40,50,40,NA
p_10320121,"Bobb, Coleman",2026,Sinker,21.428571428571427,91.39766166666666,10.38954,18.198808333333332,6.664831666666666,5.225408333333333,2.9640116666666665,50,0,16.666666666666668,0
p_702528,"Weaver, Aidan",2026,ChangeUp,35.2112676056338,79.3905324,8.8381152,12.0158748,6.8747236,6.2897272,1.7817204,40,53.333333333333336,44,0
p_702528,"Weaver, Aidan",2026,Fastball,35.2112676056338,93.74011857142857,16.640904285714285,4.644776785714286,6.717137857142857,6.383987857142857,1.6236857142857144,46.42857142857143,14.285714285714286,14.285714285714286,0
p_702528,"Weaver, Aidan",2026,Slider,35.2112676056338,86.35444277777778,4.331069444444444,-2.7669566666666667,6.933324444444445,6.328823333333333,1.7913477777777778,55.55555555555556,11.11111111111111,27.77777777777778,50
p_702658,"Evans, Rob",2026,ChangeUp,12.941176470588236,82.32803,6.356549090909091,-15.616325454545455,5.064956363636363,5.287895454545454,-2.269330909090909,27.272727272727273,40,27.272727272727273,0
p_702658,"Evans, Rob",2026,Sinker,12.941176470588236,92.50962673469388,8.115147346938775,-15.770178979591837,4.976218367346939,5.368746326530612,-2.2214916326530614,44.89795918367347,33.333333333333336,30.612244897959183,28.571428571428573
p_702658,"Evans, Rob",2026,Slider,12.941176470588236,81.43635,-1.84792,6.4024712,4.7294612,5.3097592,-2.2092344,44,42.857142857142854,36,33.333333333333336
p_702667,"DiGiacomo, Roman",2026,Curveball,27.272727272727273,77.47488666666666,-10.516526666666667,-0.8915866666666667,6.336243333333333,6.1072500000000005,1.47484,100,NA,66.66666666666667,NA
p_702667,"DiGiacomo, Roman",2026,Cutter,27.272727272727273,84.46376000000001,0.14827,-3.7991550000000003,6.291975,6.0047049999999995,1.90127,50,0,0,NA
p_702667,"DiGiacomo, Roman",2026,Fastball,27.272727272727273,91.47513833333333,15.781241666666666,4.990633333333333,6.7402033333333335,6.080395,1.7770066666666666,33.333333333333336,0,16.666666666666668,100
p_702711,"Blanco, Evan",2026,ChangeUp,17.045454545454547,78.611114,12.873745333333334,-13.624998666666666,5.077626666666666,5.724596666666667,-2.0349766666666667,53.333333333333336,42.857142857142854,40,0
p_702711,"Blanco, Evan",2026,Curveball,17.045454545454547,73.4451225,-9.3514325,5.39914,5.268105,5.8667475,-1.7166275,25,0,0,NA
