player_uid,player_name,season,exit_speed,angle,direction
h_807408,"West, Brylan",2026,86.23018,55.030413,27.228159
h_804451,"Sheahan, Vance",2026,89.84059,-16.284732,-2.089006
h_828345,"Alvarez, Alonzo",2026,96.21108000000001,-6.559448,-9.811784
h_806678,"Peralta, Fabio",2026,79.48371,-19.546039,48.417127
h_804826,"Ogden, Jake",2026,95.30632,28.095535,-13.74224
h_831482,"Ball, Ethan",2026,60.372240000000005,-56.050069,-10.842041
h_838742,"Grube, Sam",2026,95.69884,17.848755,0.570159
h_804746,"Williams, Derek",2026,98.7398,-5.255369,35.160057
h_804451,"Sheahan, Vance",2026,31.36236,-18.454565,29.050428
h_828130,"Dubovik, Dylan",2026,99.66078,-2.228003,-12.083039
h_828345,"Alvarez, Alonzo",2026,69.75074000000001,59.749206,-33.9708
h_805714,"Cooke, Henry",2026,73.11666,-13.73251,-14.457394
h_824009,"Locurto, Nick",2026,80.64885,-9.695177,22.805357
h_824567,"Lutterman, Hudson",2026,76.70034,15.925636,-15.108846
h_828130,"Dubovik, Dylan",2026,92.59562,46.260286,12.587044
h_828345,"Alvarez, Alonzo",2026,99.41504,24.812426,9.573665
h_806678,"Peralta, Fabio",2026,99.19597,6.604126,-9.714244
h_804562,"Cuvet, Daniel",2026,76.3279,27.131925,-31.644077
h_703551,"Gibson, Ethan",2026,91.61304,49.672295,-10.06179
h_838743,"Petrich, Owen",2026,91.90891,21.935432,34.371749
h_828130,"Dubovik, Dylan",2026,91.38877000000001,13.42665,25.376313
h_803344,"Galvin, Max",2026,36.112030000000004,13.520299,-5.148062
h_806678,"Peralta, Fabio",2026,70.71427,27.949623,18.632723
h_813298,"Milano, Gabriel",2026,98.00078,19.346031,3.156424
h_831480,"Oxendine, CJ",2026,71.51652,51.276768,29.496008
h_824009,"Locurto, Nick",2026,73.83105,-38.037402,-54.916403
h_831481,"Chandler, Aimon",2026,86.19023,64.789388,-12.571866
h_813527,"Gary, Bennett",2026,94.46835,-1.118331,14.701842
h_813915,"De Goti, Brandon",2026,75.5964,-7.034979,-36.826375
