player_uid,player_name,team_code,school_name,conference,season,throws,class_year,production_rank,draft_value_score,reach_score,stuff_score,command_score,risk_score,pitch_count,avg_fb_velo,max_fb_velo,avg_ivb,avg_hb,extension,csw_pct,whiff_pct,zone_pct,arsenal_count,trend_delta,data_completeness_score,one_season_only_flag,missing_critical_count,export_ts
p_814530,"Renfrow, Brett",VIR_TEC,Virginia Tech,ACC,2026,Right,Unknown,1,73.0735759493671,75.71202531645571,91.45569620253166,64.55696202531645,40.98101265822785,155,95.3497021875,97.55499,18.9666278125,6.747993125,6.6823103125,42.58064516129032,38.46153846153846,52.903225806451616,4,0,100,TRUE,0,2026-04-20 14:17:54 EDT
p_811748,"Crowl, Preston",VIR_TEC,Virginia Tech,ACC,2026,Right,Unknown,2,67.94303797468353,72.5210970464135,85.44303797468355,55.27426160337552,36.234177215189874,220,93.32882252631579,96.55086,18.73726557894737,4.891382315789474,6.624786,31.363636363636363,35.05154639175258,43.18181818181818,4,0.8928665263157853,100,FALSE,0,2026-04-20 14:17:54 EDT
p_10110051,"McGrath, Luke",JMU_DUK,James Madison,Sun Belt,2026,Right,Unknown,3,65.70806962025317,46.86181434599156,94.62025316455697,66.24472573839662,34.01898734177215,12,95.101865,95.73064,20.813915,16.78676,5.469166666666666,50,71.42857142857143,41.666666666666664,3,0,100,TRUE,0,2026-04-20 14:17:54 EDT
p_832377,"Craytor, Luke",VIR_TEC,Virginia Tech,ACC,2026,Right,Unknown,4,63.777689873417714,64.26687763713079,78.16455696202532,59.91561181434599,33.06962025316456,44,96.07862866666666,97.22644,16.557258666666666,8.148014,5.98355,36.36363636363637,28.571428571428573,47.72727272727273,4,1.0791058095237958,100,FALSE,0,2026-04-20 14:17:54 EDT
p_815561,"Valincius, Tomas",MSU_BDG,Mississippi State,SEC,2026,Left,Unknown,5,61.764240506329116,75.94936708860759,68.35443037974683,54.430379746835435,38.449367088607595,81,95.3459676923077,97.98026,10.772152307692307,-17.459311794871795,5.835506666666666,28.395061728395063,24.390243902439025,56.79012345679013,6,0,100,TRUE,0,2026-04-20 14:17:54 EDT
p_832561,"Grim, Ethan",VIR_TEC,Virginia Tech,ACC,2026,Right,Unknown,6,61.09572784810126,68.11708860759494,77.53164556962025,49.367088607594944,40.664556962025316,151,92.31248152941177,95.24383,18.478434,10.418111529411764,5.744448470588235,31.125827814569536,30,40.397350993377486,4,0,100,FALSE,0,2026-04-20 14:17:54 EDT
p_805658,"Sdao, Shane",TEX_AGG,Texas A&M,SEC,2026,Left,Unknown,7,60.83465189873417,76.1867088607595,65.50632911392404,55.69620253164556,39.71518987341772,87,91.60842583333333,94.19677,17.012185,-7.40421375,6.274615416666666,31.03448275862069,26.08695652173913,54.02298850574713,6,0,100,TRUE,0,2026-04-20 14:17:54 EDT
p_821310,"Sweeney, Brendan",MSU_BDG,Mississippi State,SEC,2026,Right,Unknown,8,60.70015822784811,44.91033755274262,81.32911392405063,67.9324894514768,30.22151898734177,18,94.25227846153845,95.61848,16.03221,17.71620846153846,5.635399230769231,38.888888888888886,50,44.44444444444444,2,0,100,TRUE,0,2026-04-20 14:17:54 EDT
p_807507,"Hartman, Lucas",VIR_CAV,Virginia,ACC,2026,Right,Unknown,9,59.723101265822784,64.76793248945147,72.15189873417722,59.07172995780591,43.82911392405063,22,90.69329333333333,90.90708,21.78753,12.516096666666666,4.490166666666666,68.18181818181819,71.42857142857143,50,5,0,100,TRUE,0,2026-04-20 14:17:54 EDT
p_1000539294,"Lazaro, Daniel",VIR_TEC,Virginia Tech,ACC,2026,Left,Unknown,10,59.339398734177216,55.03691983122363,54.74683544303797,84.38818565400844,19.462025316455694,46,89.99438375,91.07734,17.704978125,-6.8610440624999995,6.905853125,41.30434782608695,25,58.69565217391305,3,0,100,TRUE,0,2026-04-20 14:17:54 EDT
p_702528,"Weaver, Aidan",DUK_BLU,Duke,ACC,2026,Right,Unknown,11,58.93196202531646,56.11814345991561,75.94936708860759,57.38396624472574,36.234177215189874,71,93.74011857142857,95.29852,16.640904285714285,4.644776785714286,6.717137857142857,28.169014084507044,28.94736842105263,46.478873239436616,3,0,100,TRUE,0,2026-04-20 14:17:54 EDT
p_1000342120,"Caudill, Alex",MAR_THU,Marshall,Sun Belt,2026,Right,Unknown,12,58.25158227848101,61.60337552742616,70.88607594936708,55.27426160337552,36.550632911392405,46,93.020537,94.78038,16.8639695,2.7313275,6.6435765,28.26086956521739,26.08695652173913,56.52173913043478,4,0,100,TRUE,0,2026-04-20 14:17:54 EDT
p_702711,"Blanco, Evan",TEN_VOL,Tennessee,SEC,2026,Left,Unknown,13,56.839398734177216,64.74156118143459,59.810126582278485,59.91561181434599,31.487341772151897,88,88.98902731707317,90.81416,21.405314634146343,-8.308239268292683,5.426300243902439,31.818181818181817,33.333333333333336,43.18181818181818,4,0,100,TRUE,0,2026-04-20 14:17:54 EDT
p_832385,"Eisenreich, Logan",VIR_TEC,Virginia Tech,ACC,2026,Right,Unknown,14,56.03243670886075,67.8006329113924,68.67088607594937,44.303797468354425,41.61392405063291,56,94.1680696875,97.25508,9.0360721875,18.6890475,6.0412859375,28.571428571428573,33.333333333333336,44.642857142857146,5,-1.3320588310185286,100,FALSE,0,2026-04-20 14:17:54 EDT
p_815480,"Krenzel, Brayden",TEN_VOL,Tennessee,SEC,2026,Right,Unknown,15,55.00395569620254,59.25632911392406,72.46835443037975,50.63291139240507,49.20886075949367,39,95.00526277777777,97.59765,8.799642222222221,16.75967222222222,6.060981111111111,38.46153846153846,46.666666666666664,48.717948717948715,4,0,100,TRUE,0,2026-04-20 14:17:54 EDT
p_1000138611,"Calveric, Luke",WM_TRI,William & Mary,CAA,2026,Right,Unknown,16,54.94066455696202,50.712025316455694,80.0632911392405,44.303797468354425,39.39873417721519,43,92.51083578947369,94.51278,17.481265526315788,12.135173421052631,6.121727894736842,27.906976744186046,54.54545454545455,32.55813953488372,3,0,100,TRUE,0,2026-04-20 14:17:54 EDT
p_825342,"Swift, Chase",VIR_TEC,Virginia Tech,ACC,2026,Left,Unknown,17,54.699367088607595,64.82067510548524,56.32911392405064,61.18143459915611,38.765822784810126,102,87.85818942857142,89.61263,21.221792285714287,-7.121472285714286,5.854985714285714,40.19607843137255,46.55172413793103,40.19607843137255,4,0.22003498412698264,100,FALSE,0,2026-04-20 14:17:54 EDT
p_802496,"Frers, Nick",VCU_RAM,VCU,Atlantic 10,2026,Right,Unknown,18,53.92800632911392,62.10443037974683,54.746835443037966,63.29113924050633,36.86708860759494,23,92.42708545454545,94.93179,7.815548181818182,16.05816181818182,6.523082727272727,34.78260869565217,25,65.21739130434783,5,0,100,TRUE,0,2026-04-20 14:17:54 EDT
p_809806,"Ballard, Carson",GIT_YEL,Georgia Tech,ACC,2026,Right,Unknown,19,53.239715189873415,60.68037974683544,45.25316455696202,74.68354430379746,31.80379746835443,55,89.3596065,92.49886,7.9038575,17.5386105,5.4004695,40,29.41176470588235,50.90909090909091,4,0,100,TRUE,0,2026-04-20 14:17:54 EDT
p_823333,"Moore, Trevor",STA_CAR,Stanford,ACC,2026,Right,Unknown,20,51.13924050632911,39.5042194092827,81.64556962025316,48.52320675105485,49.84177215189873,14,93.9463325,95.13489,15.9010625,3.86429,6.0596049999999995,50,71.42857142857143,28.571428571428573,3,0,100,TRUE,0,2026-04-20 14:17:54 EDT
p_10027961,"Dressler, Cade",VCU_RAM,VCU,Atlantic 10,2026,Left,Unknown,21,50.91376582278481,45.80696202531645,41.455696202531655,83.54430379746834,17.246835443037973,24,87.76407333333333,89.91415,18.69571388888889,-4.687885,6.1488338888888885,37.5,20,70.83333333333333,3,0,100,TRUE,0,2026-04-20 14:17:54 EDT
p_1000091452,"Smith, Peyton",VIR_TEC,Virginia Tech,ACC,2026,Right,Unknown,22,50.6606012658228,49.18248945147679,47.784810126582286,69.19831223628692,19.778481012658226,18,92.16683454545455,94.26241,7.255224545454546,10.491714545454546,6.563262727272727,33.333333333333336,22.22222222222222,50,4,0,100,FALSE,0,2026-04-20 14:17:54 EDT
